Product,Quantity,Sale Date,Customer,City,State,Unit Price,Total Value
serve,2,2023-11-03,Kevin Wright,South Franciscohaven,SD,78.02,156.04
ahead,2,2023-04-08,Molly Smith,West Larryton,OH,23.76,47.52
why,3,2023-07-24,Sarah Carlson,East Paul,MH,81.29,243.87
plant,7,2023-06-13,Autumn Black,Garciaberg,LA,63.68,445.76
might,7,2023-08-31,Danielle Potter,Ryanville,GU,44.35,310.45
magazine,8,2023-05-12,Kimberly Miller,Holdenside,MD,57.62,460.96
over,9,2023-03-23,Timothy Howard,West Scottburgh,ID,87.47,787.23
art,1,2023-09-11,Curtis Lutz,Willieborough,SD,71.23,71.23
usually,2,2023-04-05,Dawn Lambert,Sandovalside,IL,71.35,142.7
door,9,2023-10-06,Angela Evans MD,Timothyshire,GU,77.58,698.22
budget,6,2023-08-22,Maureen Barnett,Port Jennifer,PW,20.04,120.24
religious,7,2023-09-09,Katie Huber,West Barbarachester,PA,24.23,169.61
ready,1,2022-12-31,Kevin Terry,Rebekahhaven,AL,95.84,95.84
once,5,2023-11-09,Elizabeth Lopez,Jameston,TX,97.47,487.35
get,3,2023-02-18,Anna Weber,West Nathanchester,UT,55.69,167.07
traditional,2,2023-08-01,Ashlee Martin,Melissaville,DC,88.35,176.7
how,5,2023-10-02,Gregory Mitchell,New Lacey,IN,85.75,428.75
agree,9,2023-01-28,Jason Diaz,Karenchester,TN,64.81,583.29
every,3,2023-02-15,Karen Mcdonald,Georgeshire,NY,43.65,130.95
town,3,2023-11-14,Rhonda Lowe,Josephmouth,NC,58.54,175.62
police,9,2023-05-21,Mr. Stephen Smith,Claytonberg,FM,92.66,833.94
performance,10,2023-07-10,Nicole Young,Lake Megan,GA,39.17,391.7
century,1,2023-06-16,Catherine Morris,Lake Joshua,PW,20.07,20.07
fact,6,2023-07-18,Linda Robertson,Port Elizabeth,MA,89.08,534.48
simple,5,2023-07-27,Jeffery Terry,Sullivanmouth,VT,31.55,157.75
mission,4,2023-02-23,Beth Singleton,Shawport,NH,89.02,356.08
tonight,2,2023-11-13,Angel Sanchez,Port Joanview,WA,17.71,35.42
fight,8,2023-07-03,Angela Gutierrez,Christinahaven,MD,83.44,667.52
two,9,2023-01-14,Julia Mcdonald,Hernandezland,MD,78.93,710.37
administration,3,2023-08-31,James Griffith,West Randy,PW,69.38,208.14
behavior,9,2023-01-19,Katie Heath,Evanville,GU,24.86,223.74
may,9,2023-02-18,Bryan Jones,East Mark,PW,88.52,796.68
friend,7,2023-11-24,Derrick Anderson,Danielberg,AK,96.79,677.53
specific,9,2023-03-07,Stephanie Myers,Port Billy,MA,77.97,701.73
carry,4,2023-02-09,Brian Barber,West Leroy,MT,74.17,296.68
enjoy,7,2023-04-24,Danielle Reyes,Tonyaborough,KY,99.56,696.92
join,6,2023-05-04,Brandy Saunders DVM,Robertburgh,IL,49.43,296.58
watch,9,2023-06-01,Carolyn Long,Danielchester,DE,50.63,455.67
reach,4,2023-07-15,Kelly Salazar,Spearstown,MD,30.22,120.88
police,6,2023-10-07,Victor Turner,South Leahstad,IN,11.89,71.34
bit,9,2023-05-30,Casey George,Mitchellfurt,IN,30.71,276.39
under,4,2023-03-20,Brian Phelps,North Shawnfurt,PR,10.65,42.6
theory,1,2023-09-08,Pamela Rubio,Port Jessica,MP,30.6,30.6
station,1,2023-05-05,Cory Hampton,North Amanda,OK,87.37,87.37
history,2,2023-08-21,Jacob Hendricks,Jacobstad,AL,56.27,112.54
art,5,2023-02-21,Tracey Day,Jensenstad,LA,70.21,351.05
determine,4,2023-12-14,Amanda Johnston,Guerreroberg,MS,58.53,234.12
set,10,2023-09-01,Andrea Hebert,Lopezhaven,IN,61.86,618.6
senior,4,2023-07-20,Robert Powell,East Melinda,KY,80.62,322.48
especially,7,2023-05-17,Heidi Chen,North Jeremy,VA,27.14,189.98
already,2,2023-05-05,Jennifer Price,West John,WA,69.31,138.62
card,6,2023-04-12,Elizabeth Carney,New Joe,MP,48.12,288.72
strong,8,2023-02-25,Veronica Alexander,Smithburgh,NV,87.75,702.0
major,1,2023-01-28,Natasha Walker,Hermanshire,VT,70.6,70.6
will,2,2023-11-17,Mary Strickland,Raymondport,FM,15.46,30.92
such,6,2023-04-02,Jim Calderon,East Savannahshire,MP,82.05,492.3
president,2,2023-06-04,Wesley Hammond,East Michael,MH,32.38,64.76
go,4,2023-09-17,Martin Houston,New Anthony,CA,58.27,233.08
audience,3,2023-06-30,David Ford,Bradleyport,WI,47.97,143.91
less,5,2023-03-13,Whitney Harris,Sherrimouth,ID,51.64,258.2
memory,2,2023-04-21,Leslie Carlson,East Christinestad,DC,49.88,99.76
loss,9,2023-08-13,Alexis Zhang,Triciahaven,OK,18.81,169.29
explain,9,2023-07-16,Calvin Montes,East Hollyborough,VA,85.24,767.16
lay,2,2023-08-30,Stephanie Griffith,Lake Angelaton,NC,93.37,186.74
they,4,2023-02-15,Jeffrey Nunez,West Shelbyfurt,CT,24.97,99.88
structure,8,2023-12-11,Autumn Johnson,Lake Brendaton,DC,53.32,426.56
class,7,2023-06-26,Jessica Cervantes,Kleinchester,DE,91.22,638.54
decide,3,2023-03-09,Lisa Williams,New Wendyport,DC,44.11,132.33
word,7,2023-12-15,Gerald White,Markmouth,MI,33.87,237.09
bar,8,2023-04-25,Douglas Gould,Port Susanborough,MP,35.67,285.36
middle,9,2023-10-23,Ivan Garner,Port Donna,VT,69.57,626.13
TV,8,2023-08-04,Donald Perez,Deleonchester,PR,23.93,191.44
amount,5,2023-08-25,Stephanie Wong,Sherriland,NC,29.59,147.95
this,1,2023-09-04,Tammy Snyder,New Mark,WA,62.13,62.13
arm,9,2023-11-11,Sarah Willis,Thomasshire,NV,15.49,139.41
black,6,2023-10-11,Eugene Stewart,South Crystalberg,AZ,15.14,90.84
thus,10,2023-03-14,Amanda Reyes,Lewismouth,WA,52.91,529.1
daughter,9,2023-06-25,Stephanie Parks,Port Emilyville,MN,24.17,217.53
family,9,2023-11-04,David Donaldson,Port Traceyhaven,MD,17.21,154.89
learn,3,2023-10-22,Victoria Mcclain,Jessicabury,MS,16.17,48.51
already,2,2023-11-18,Maria Yang,Lake Veronica,AR,70.77,141.54
artist,4,2023-10-12,Douglas Lucas,Rodgersland,SD,46.34,185.36
guess,10,2022-12-29,Thomas Perry,West Deannaside,WA,32.16,321.6
guy,10,2023-11-24,Elizabeth Quinn,North Carl,ME,13.58,135.8
herself,2,2023-11-05,Nathan Pacheco,Cooperland,SC,47.73,95.46
meet,10,2023-05-06,Gregory Saunders,West James,IA,60.87,608.7
most,6,2023-11-13,Roger Brown,Raymondmouth,OK,94.12,564.72
front,4,2023-03-25,Joshua Padilla,North Shawn,WY,70.28,281.12
exactly,6,2023-02-16,Mrs. Elizabeth Shaw,Port Douglas,AZ,31.48,188.88
career,7,2023-07-18,Barry Wright,Chelseyville,IL,21.78,152.46
night,5,2023-10-19,Joshua Trujillo,Lake John,MH,51.15,255.75
summer,2,2023-06-11,Ashley Wong,North Ashley,WI,10.84,21.68
task,10,2023-11-30,Julia Wilson,Jamesville,WY,99.86,998.6
glass,2,2023-09-11,Brian Mcdonald,Deborahtown,MS,16.59,33.18
establish,4,2023-05-27,Tyler Grimes,Port Brianburgh,MA,55.53,222.12
suddenly,3,2023-07-27,Karen Garcia,East Thomas,AZ,93.99,281.97
suffer,2,2023-03-09,Danielle Coleman,South Jorgeland,NV,89.13,178.26
that,6,2023-05-16,Mr. David Henderson DDS,Port Kimberly,NE,35.65,213.9
here,8,2023-04-03,Katie Franklin,Stephaniehaven,OR,85.04,680.32
election,5,2023-01-11,Christopher Brooks,Port Wesley,DE,65.05,325.25
know,9,2023-05-07,Todd Johnston,East Christinaberg,CA,10.7,96.3
phone,9,2023-06-08,John Stewart,West Charlesfurt,IA,36.94,332.46
work,2,2023-02-10,Katie Moore,Porterstad,FL,94.5,189.0
card,3,2023-12-15,Tina Meyer,South Tina,FL,33.8,101.4
degree,2,2023-01-15,Brooke Mayer,South Kimberly,ND,76.82,153.64
capital,3,2023-03-11,Jill Bryant,Port Jeffchester,AL,34.51,103.53
especially,10,2023-06-01,Suzanne Jones,East Antoniotown,WV,28.96,289.6
know,6,2023-01-09,John Stout,Christopherview,MI,28.32,169.92
final,5,2023-06-17,Jose Lee,West Beth,RI,55.49,277.45
without,5,2023-01-25,Sherry Rocha,Port Barbara,NE,91.48,457.4
fish,1,2023-12-19,Rachel Andrews,Teresamouth,DC,18.31,18.31
wall,7,2023-01-16,Timothy Yoder,East Ashley,SD,84.64,592.48
occur,1,2023-04-14,Ariel Diaz,South Kristy,GU,10.32,10.32
around,3,2023-11-20,Caitlin Joyce,Lake Wendyburgh,NY,67.34,202.02
bit,5,2023-03-25,Samantha Jones,West Teresabury,SC,24.54,122.7
member,8,2023-02-15,Tiffany Rios,Lake Karen,GA,59.65,477.2
enough,7,2023-04-19,Nina Pennington,Reynoldshaven,MO,60.48,423.36
as,2,2023-02-08,James Parks,Lopezland,SC,16.77,33.54
single,3,2023-11-07,Michael Davis,Reynoldsfort,SD,59.1,177.3
on,6,2023-09-15,Steven Stevens,Lake Jennifershire,VI,62.43,374.58
executive,3,2023-07-25,Keith Barnett,East Josephberg,CT,48.68,146.04
maybe,1,2023-01-15,Cathy Valencia,Lake Joshua,CT,37.74,37.74
for,1,2023-06-14,Jennifer Park,North Stevebury,MH,90.9,90.9
let,4,2023-08-20,David Williamson,Waynestad,CT,71.39,285.56
need,2,2023-01-22,Amy Hubbard,Gordonside,KY,41.83,83.66
activity,9,2023-02-19,Jose Miller,Snyderville,CO,89.57,806.13
artist,7,2023-06-13,Kaitlin Williams,East Katherine,AL,97.65,683.55
section,3,2023-11-02,Charles Carter,Lauriemouth,WV,93.32,279.96
too,4,2023-08-08,Erik Daniels,East Valerieshire,OR,87.81,351.24
light,3,2023-06-16,Kimberly Roth,Nelsonview,IA,89.33,267.99
safe,1,2023-12-14,Ian Franco,Gutierrezfurt,MT,26.14,26.14
the,6,2023-10-30,Kathryn Moore,Port Leslieberg,TN,80.41,482.46
garden,7,2023-10-16,Taylor Dudley,New Jennifermouth,PW,82.2,575.4
interview,4,2023-02-13,Richard Wright,East Cynthiatown,NV,34.01,136.04
their,2,2023-01-15,Dawn Hall,Jessicamouth,DE,44.43,88.86
yourself,1,2023-10-04,Eric Williams,Jessicashire,RI,87.27,87.27
huge,4,2022-12-31,Catherine Short,West Timothy,AR,27.96,111.84
today,8,2023-05-03,Karla Crawford,South Donaldside,NY,41.47,331.76
experience,4,2023-11-03,Jane Chen,South Michaelton,CA,30.06,120.24
part,4,2023-02-05,Kenneth Chase,Gambleview,CA,45.86,183.44
trade,5,2023-05-25,Cameron Mcclure,Williamton,AL,87.79,438.95
language,5,2023-01-12,Christopher Rivera,Elizabethville,NY,41.6,208.0
better,9,2023-04-01,Karen Flores,Alvinborough,WY,45.97,413.73
wonder,9,2023-11-18,Mrs. Kathy Pearson MD,Mariahtown,PR,39.8,358.2
structure,1,2023-07-09,Kevin Lopez,Wandabury,WA,20.38,20.38
standard,5,2023-11-19,Anthony Mitchell,Martinezfort,MT,26.07,130.35
audience,5,2023-06-27,Tiffany Roberts,South Jesseville,IN,13.44,67.2
close,10,2023-02-24,Christie Fowler,Martinezmouth,CA,49.11,491.1
official,6,2023-09-23,Jordan Chambers,Jillianshire,PA,49.28,295.68
civil,9,2023-05-30,Kayla Marquez,Evansview,DC,20.41,183.69
condition,10,2023-10-07,Michael Lang,New Jackborough,SD,27.11,271.1
step,1,2023-10-04,James Mack,New Debbie,IN,73.79,73.79
pattern,1,2023-11-13,David Cox,West Jennifer,MI,56.79,56.79
son,9,2023-12-14,Gina White,North Saraville,ID,71.82,646.38
walk,4,2023-10-21,Mary King,Frankland,VA,42.78,171.12
ten,2,2022-12-31,Michael English,Herringburgh,PR,95.4,190.8
both,6,2023-08-06,William Burns,Port Trevor,WY,66.08,396.48
address,2,2023-09-01,James Powell,Reynoldsshire,TX,74.78,149.56
cold,5,2023-08-21,Samuel Payne,Lake Kristin,LA,55.64,278.2
certainly,7,2023-10-05,William Ramsey,North Aaronland,NM,39.36,275.52
commercial,5,2023-07-09,Brandon Coleman,East Lindsaystad,MP,59.9,299.5
whether,4,2023-05-19,Eddie Taylor,Danielfort,KY,47.84,191.36
involve,7,2023-04-06,Adrienne Sanchez,East Kennethmouth,VI,70.96,496.72
interview,3,2023-02-19,Michael Blankenship,Taraberg,CO,65.4,196.2
certainly,5,2023-02-04,Jeffrey Hernandez,West Ryan,TN,46.55,232.75
international,1,2023-06-18,Steve Novak,Wisemouth,CO,37.35,37.35
Mr,4,2023-04-22,Andrea Wilson,Walkerfort,AS,48.69,194.76
foot,10,2023-02-25,Thomas Proctor,North Kyleport,WV,64.6,646.0
those,6,2023-10-22,Casey Escobar,North Johnny,ME,51.85,311.1
answer,8,2023-11-06,Jillian Ingram,Anitabury,TX,70.81,566.48
us,9,2023-03-08,Sara Holland,South Lisachester,NE,52.59,473.31
address,3,2023-03-19,Jessica Davis,New Jason,HI,69.3,207.9
likely,5,2023-03-17,Kristine Gould,South Robert,TN,56.39,281.95
them,10,2023-06-03,George Dixon,East Valerie,NH,40.17,401.7
sea,4,2023-10-18,Ryan Sanchez,North Rhondachester,DE,70.55,282.2
out,4,2023-09-22,Jamie Reyes,Cookmouth,WI,82.59,330.36
response,3,2023-11-19,Michelle Wall,South Colleenchester,TX,12.2,36.6
on,4,2023-01-20,Amanda Herrera,East Kathleen,NY,98.55,394.2
must,10,2023-10-04,Kimberly Kelly,Port Christinebury,MS,86.48,864.8
into,2,2023-06-12,Anne Webb,West Briana,OH,50.99,101.98
western,10,2023-01-20,Crystal York,South Lindaborough,PW,27.5,275.0
ready,7,2023-02-15,Edward Parrish,West Stanley,MO,54.49,381.43
owner,4,2023-05-03,Bryan Simpson,South Hollyshire,AL,23.28,93.12
spring,1,2023-07-18,Karen Dominguez,Harrisborough,WV,90.34,90.34
present,2,2023-09-30,Amy Jones,Zunigahaven,FL,80.06,160.12
write,4,2023-06-15,Anthony Herrera,East Mariaside,TN,25.83,103.32
lay,9,2023-11-25,Isabel Baker,South Rebeccaberg,MD,51.81,466.29
seem,9,2023-04-27,Leah Price,South Danny,IN,32.43,291.87
as,2,2023-05-16,Anthony Watkins,Oscarfurt,ME,51.08,102.16
message,8,2023-05-05,Ms. Michele Rodgers MD,Nancytown,PW,70.08,560.64
wind,9,2023-10-18,Anna Hill,Wrightport,WY,63.59,572.31
compare,8,2023-12-07,Mark Pratt,Jenniferfurt,CT,65.14,521.12
difference,9,2023-07-06,Joseph Cruz,Gardnerfurt,NC,48.41,435.69
although,9,2023-12-25,Nicole Jones,New Billystad,CA,50.13,451.17
whole,3,2023-04-15,William Porter,Wallsmouth,CO,76.93,230.79
tend,8,2023-06-19,Angela Wallace,Lake Christian,ID,50.51,404.08
color,4,2023-07-16,Charlene Chambers,Alexanderstad,AL,85.59,342.36
eye,5,2023-10-04,Lisa Cameron,Malonehaven,IL,78.92,394.6
foreign,9,2023-03-06,Mr. Gary Sutton,New Michael,NV,53.61,482.49
ask,4,2023-10-29,Alyssa Roberts,South Lorimouth,SC,34.71,138.84
art,2,2023-04-25,Joshua Kim,Port Jay,PA,74.22,148.44
defense,4,2023-03-28,Paula Stephens,Dillontown,MP,34.45,137.8
three,6,2023-10-04,Patrick Mills,East Shannonchester,AS,90.37,542.22
article,2,2023-10-14,Jessica Watts,South Steven,AL,22.45,44.9
rule,4,2023-09-19,Tony Farrell,Robertsland,NM,44.47,177.88
place,3,2023-01-08,Ryan Rose,West Audrey,NJ,73.58,220.74
item,2,2023-03-23,Michael Fuller,Meganburgh,MP,47.34,94.68
court,6,2023-11-14,William Gibson,Toddborough,AR,58.84,353.04
significant,7,2023-07-14,Matthew Perez,South Ana,NE,15.6,109.2
movie,7,2023-08-05,Karen Hudson,Hardingview,FL,45.05,315.35
organization,10,2023-01-21,Alexander Simmons,South Russellborough,CT,95.15,951.5
throw,1,2023-06-15,Dylan Price,North Scott,PR,87.11,87.11
other,10,2023-03-02,Sherri Mooney,New Jared,LA,44.23,442.3
eight,1,2023-10-07,Ronald Foley,Annetown,NY,94.85,94.85
enjoy,5,2023-03-18,Yolanda Kim,West Corey,WY,77.81,389.05
success,7,2023-06-19,Lisa Carroll,New Valeriefort,DC,58.44,409.08
agree,9,2023-09-12,Robert Scott,Kristinaside,AZ,81.99,737.91
teach,4,2023-09-11,Taylor Bryant,West Edwardfurt,AS,53.94,215.76
main,5,2023-03-16,Julie Oneill,Port Gregg,PW,49.23,246.15
friend,1,2023-04-24,Lindsay Price,Port Robertoport,AS,45.0,45.0
result,7,2023-03-20,Kelsey Perez,South Lynn,MN,75.18,526.26
hand,8,2023-08-07,David Ford,Roberthaven,NY,92.76,742.08
hit,10,2023-06-29,Kelly Jones,Guzmanside,KY,58.07,580.7
to,7,2023-08-06,Angela Horton,Browntown,FM,63.27,442.89
serious,1,2023-02-04,Amy Raymond,Moralesland,AZ,17.56,17.56
government,7,2023-05-27,Paul Coleman,East Debrachester,NH,22.21,155.47
population,8,2023-09-30,Joyce Reed,Denisechester,VA,26.36,210.88
cell,5,2023-03-22,Christopher Page,West Amyport,MS,44.12,220.6
key,4,2023-04-16,Kellie Wilson,Sabrinahaven,NY,50.92,203.68
stand,6,2023-03-01,Robert House,New Williammouth,IL,78.51,471.06
degree,7,2023-08-06,William Malone,South Melissabury,KY,35.04,245.28
spend,7,2023-02-26,Cheryl Brooks,North Johnland,MI,32.7,228.9
politics,2,2023-09-22,Billy Dickerson,Bentonhaven,MO,52.33,104.66
piece,9,2023-11-02,Anthony Snyder,North Alexanderview,NJ,14.69,132.21
indeed,6,2023-07-05,Wendy Allen,Roachview,LA,30.18,181.08
thought,2,2023-12-10,Elizabeth Clark,Lake Michael,MD,80.31,160.62
expect,1,2023-07-08,Michael Jones MD,Brandybury,RI,77.88,77.88
total,4,2023-05-16,Joshua Henry,West Jasmineville,HI,27.94,111.76
under,1,2022-12-28,Lindsay Atkinson,Cordovatown,IL,65.92,65.92
hard,4,2023-03-14,Edward Jackson,Kristenville,AL,21.36,85.44
affect,2,2023-09-25,Dr. Dustin Garcia DVM,Caseyville,RI,60.76,121.52
recognize,4,2023-10-08,Connie Perkins,Adamview,TX,51.85,207.4
item,5,2023-10-22,Samuel Lawrence,Meltonchester,GA,79.02,395.1
here,3,2023-06-14,Kenneth Gregory,Carmenborough,MO,64.53,193.59
including,2,2023-12-10,Lynn Dillon,Lake William,IA,80.0,160.0
throw,3,2023-05-08,Darlene Cooper,North Timothyborough,TX,96.82,290.46
guy,2,2023-05-08,Lisa Arellano,Jamesfort,FM,62.08,124.16
real,5,2023-08-02,Renee Rios,New Dianamouth,TN,61.82,309.1
clear,7,2023-11-01,Timothy Smith,Kruegershire,TN,45.7,319.9
happy,4,2023-12-05,David Chen,Jacksonport,AS,16.84,67.36
total,4,2023-03-15,Thomas Sherman,New Kristina,NC,19.17,76.68
close,5,2023-04-05,Brittany Brown,Ashleyton,FL,86.53,432.65
gun,10,2023-10-01,Austin Gonzalez,East Kristinaburgh,OR,82.5,825.0
ready,10,2023-12-06,Eric Mcbride,Matthewsside,AS,80.44,804.4
case,6,2023-11-13,Jessica Reyes,Sanchezview,TN,57.95,347.7
pay,6,2023-01-30,Joshua Whitaker,Lake Michaelview,WY,16.21,97.26
democratic,6,2023-04-07,Martha Jones,Port Julieshire,NJ,11.14,66.84
rise,7,2023-07-16,Jennifer Leon,Davidton,MN,84.01,588.07
surface,2,2023-03-21,Caitlyn Snyder,Waynemouth,NE,49.02,98.04
sort,6,2023-07-18,Janet Stevenson,Prestonmouth,UT,67.2,403.2
agree,8,2023-06-20,Jennifer Byrd,Lake Lindaton,TN,73.66,589.28
up,7,2023-05-06,Cody Davis,West James,NH,25.85,180.95
heavy,9,2023-08-12,Steven James,New Rebecca,MH,96.89,872.01
ready,5,2023-03-10,Lisa Reed,Lindseyfurt,HI,65.43,327.15
reflect,9,2023-12-17,Gregory Thomas,South Kathryn,MN,79.72,717.48
size,8,2023-11-14,Lisa Moore,Mooreton,MS,49.2,393.6
serve,10,2023-10-18,Kenneth Ortega,Port Timothy,CO,34.16,341.6
into,4,2023-08-08,Charles Reed,Leahbury,VA,84.77,339.08
no,2,2023-11-25,Gregory Parker,West Lorishire,MO,35.1,70.2
east,8,2023-05-28,Ryan Watts,South Heather,TX,31.95,255.6
area,8,2023-05-23,Michael Cox,North Wanda,NV,61.29,490.32
song,7,2023-06-14,Deborah Davis,East Martin,MT,40.28,281.96
political,8,2023-05-08,David Lopez,Port Dana,PA,86.59,692.72
from,3,2023-12-09,John Hill,West Maurice,LA,53.88,161.64
movement,6,2023-08-02,David Padilla,Ritterville,SC,81.8,490.8
main,6,2023-06-05,Jennifer Stewart,Porterstad,NM,35.17,211.02
make,10,2023-12-02,Robert Poole,Larryport,HI,73.11,731.1
prove,5,2023-10-15,John Smith,South Teresa,NY,60.02,300.1
bring,9,2023-11-17,Victoria Sandoval,Port Patrickbury,HI,95.33,857.97
when,2,2023-10-15,Roberta Mclaughlin,Barbaraton,PW,31.72,63.44
safe,7,2023-08-15,Robert Clarke,Lake Paul,SD,53.97,377.79
coach,4,2023-08-17,Mary Zavala,East Jasonmouth,NH,72.15,288.6
civil,8,2023-05-30,Dawn Mccoy,New Michael,LA,50.34,402.72
everyone,1,2023-03-12,Benjamin Brown,East Austinchester,WA,18.37,18.37
increase,4,2023-04-07,Mark Wilson,Port Alexis,FM,46.4,185.6
civil,4,2023-06-16,Jamie Bennett,Gibsonstad,NC,37.56,150.24
onto,10,2023-10-29,Gregory Maldonado,East Victoria,WA,43.21,432.1
southern,9,2023-07-09,Anne Jones,East Kathy,MP,57.78,520.02
any,7,2023-06-26,Mrs. Krystal Roy,Lake Helenfurt,CO,99.7,697.9
organization,9,2023-07-22,Joseph Castro,Lynchton,NY,39.77,357.93
see,8,2023-09-30,Laura Butler,Lake Debra,MP,34.38,275.04
gas,5,2023-07-07,Allison Russo,South Jennifer,HI,30.75,153.75
way,4,2023-05-13,Shelley Castaneda,North Tonyamouth,PW,38.4,153.6
fact,9,2023-08-28,Justin Smith,Jameschester,IN,95.58,860.22
plan,3,2023-05-01,David Quinn,South Wandabury,VA,27.24,81.72
those,8,2023-04-20,Joshua Scott,West Brandyfurt,NE,34.88,279.04
middle,10,2023-03-12,Sharon Daniel,Michaelton,MN,97.89,978.9
about,9,2023-04-21,Jonathan Davis,Vanessaburgh,AS,63.71,573.39
possible,2,2023-02-22,Andrew Foster,South Sarahton,TN,84.94,169.88
rich,5,2023-03-08,Sean Young,Smithchester,OH,30.47,152.35
test,3,2023-01-18,Jessica Trujillo,Michaelfurt,NM,37.2,111.6
grow,9,2023-11-15,Christopher Roberts,West Scottport,ID,21.39,192.51
personal,1,2023-10-12,Rachel Horton,Trevinoview,UT,97.69,97.69
simply,9,2023-09-06,Michael Jacobson,Rebeccaberg,MN,36.29,326.61
imagine,3,2023-01-11,Courtney Arias,Wendyfort,KS,67.41,202.23
answer,8,2023-10-30,Catherine Mccoy,New Rebeccahaven,OK,19.23,153.84
least,1,2023-12-14,Justin Jensen,Meganfurt,TX,61.67,61.67
girl,8,2023-04-07,Crystal Roth,Davidton,TN,53.08,424.64
family,6,2023-08-10,Mr. Todd Jones,Gregoryside,IA,26.59,159.54
heart,1,2023-04-20,James Herrera,South Lisa,NC,32.72,32.72
season,8,2023-08-20,Aaron Todd,Aprilview,WY,20.27,162.16
firm,2,2023-04-25,Cody Fisher,Hensonfort,KS,46.06,92.12
you,2,2023-02-15,Alexandra Fisher,Campbellstad,GA,61.93,123.86
could,1,2023-01-29,Joseph Anderson,North Nicoleview,WA,23.66,23.66
parent,10,2023-04-15,Michael Booker,New Sophia,PA,95.42,954.2
nation,2,2023-01-02,Kristi Tapia,Lindaborough,CO,99.45,198.9
